"","opp_team","week","opp_sacks","year","opp_hur","team","L3_sacks","L3_hurries"
"4607","Memphis",5,0,2021,2,"Temple",1.5,4.25
"4608","Miami",5,3,2021,0,"Virginia",2,2.5
"4609","Miami (OH)",5,3,2021,7,"Central Michigan",1.75,0.75
"4610","Michigan",5,6,2021,3,"Wisconsin",1.75,3.25
"4611","Michigan State",5,3,2021,3,"Western Kentucky",4,3.25
"4612","Middle Tennessee",5,3,2021,2,"Marshall",1.5,7.25
"4613","Minnesota",5,4,2021,1,"Purdue",2,2
"4614","Mississippi State",5,3,2021,1,"Texas A&M",2,3.25
"4615","Missouri",5,1,2021,1,"Tennessee",3.25,2.5
"4616","Navy",5,0,2021,5,"UCF",1,3.5
"4617","NC State",5,3,2021,10,"Louisiana Tech",1,6.25
"4618","Nebraska",5,4,2021,3,"Northwestern",1.75,2.75
"4619","Nevada",5,6,2021,4,"Boise State",3,0.75
"4620","New Mexico",5,1,2021,0,"Air Force",2.5,2
"4621","North Carolina",5,5,2021,6,"Duke",1.5,2.75
"4622","Northern Illinois",5,5,2021,2,"Eastern Michigan",1.5,4
"4623","Northwestern",5,0,2021,1,"Nebraska",2.5,3
"4624","Notre Dame",5,1,2021,5,"Cincinnati",3.5,5.75
"4625","Ohio",5,5,2021,0,"Akron",0.75,2.5
"4626","Ohio State",5,1,2021,1,"Rutgers",3.25,3
"4627","Oklahoma",5,1,2021,1,"Kansas State",3.5,3
"4628","Oklahoma State",5,3,2021,9,"Baylor",3.25,7
"4629","Ole Miss",5,3,2021,4,"Alabama",2.5,4.25
"4630","Oregon",5,2,2021,3,"Stanford",2,1.5
"4631","Oregon State",5,3,2021,2,"Washington",2.25,5.75
"4632","Penn State",5,2,2021,3,"Indiana",1.5,2.25
"4633","Pittsburgh",5,2,2021,3,"Georgia Tech",4,7.25
"4634","Purdue",5,0,2021,3,"Minnesota",1.75,2.75
"4635","Rice",5,5,2021,2,"Southern Mississippi",1.75,1.75
"4636","Rutgers",5,1,2021,1,"Ohio State",3.25,2.25
"4637","San José State",5,1,2021,2,"New Mexico State",3,1.5
"4638","SMU",5,2,2021,3,"South Florida",1.75,4.25
