"","player","player_id","position","team_name","player_game_count","attempts","completion_percent","completions","first_downs","franchise_id","interceptions","qb_rating","sacks","touchdowns","yards","ypa","week","year","dk_pts","fd_pts","string","team","head_coach","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"178","Jeff George Jr.",46564,"QB","ILLINOIS",1,20,35,7,5,187,0,53.8,4,0,108,5.4,9,2017,4.32,4.32,1,"Illinois","Lovie Smith",30.5,65.45,19,10,1,89.8,2.5,1.5,218,6.85,15.22,13.72
"179","Cam Thomas",60406,"QB","ILLINOIS",1,11,18.2,2,3,187,2,4.2,1,0,44,4,9,2017,-0.24,-0.24,2,"Illinois","Lovie Smith",4,50,2,2,1,38.5,0,0,33,8.3,0.32,0.32
"180","Peyton Ramsey",40186,"QB","INDIANA",1,41,75.6,31,17,190,1,107.7,6,3,279,6.8,9,2017,22.16,22.16,1,"Indiana","Tom Allen",37.5,56.75,21,8.5,1,61.9,2,0.5,167.5,4.45,7.7,7.7
"181","Richard Lagow",45173,"QB","INDIANA",1,21,57.1,12,8,190,0,107.4,0,2,131,6.2,9,2017,13.24,13.24,2,"Indiana","Tom Allen",1,100,1,0,0,118.8,0,0,20,20,0.8,0.8
"182","Nate Stanley",46565,"QB","IOWA",1,27,55.6,15,7,192,1,74.6,0,1,190,7,9,2017,10.6,10.6,1,"Iowa","Kirk Ferentz",32,56.3,18,9,1,75.4,2,1,223,7,11.92,11.92
"183","Kyle Kempt",29761,"QB","IOWA STATE",1,35,60,21,12,193,1,83.3,2,2,202,5.8,9,2017,15.08,15.08,1,"Iowa State","Matt Campbell",26,66.9,17.5,9,0.5,100.45,1.5,2,157,6.05,13.78,13.78
"184","Carter Stanley",13634,"QB","KANSAS",1,48,47.9,23,15,198,1,76.6,6,1,418,8.7,9,2017,22.72,19.72,1,"Kansas","David Beaty",4.5,46.45,2,0.5,0,56.85,0,0,17,3.85,0.68,0.68
"185","Alex Delton",34840,"QB","KANSAS ST",1,7,57.1,4,2,199,0,100.9,2,0,86,12.3,9,2017,3.44,3.44,1,"Kansas State","Bill Snyder",22,62.3,12,6,0.5,75.25,1,0.5,135.5,6.65,6.92,6.92
"186","Stephen Johnson",38260,"QB","KENTUCKY",1,15,40,6,3,202,0,48.2,0,0,46,3.1,9,2017,1.84,1.84,1,"Kentucky","Mark Stoops",28,46.4,13,8,2,28.4,2,0,117,4.2,2.68,2.68
"187","Caleb Evans",41292,"QB","LA MONROE",1,37,64.9,24,20,209,1,117.1,2,3,401,10.8,9,2017,30.04,27.04,1,"Louisiana Monroe","Matt Viator",19,60.45,11.5,5,0.5,71.6,1,0,132,6.75,4.78,4.78
